sr_no,dump_ref_no,request_ref_no,court_order_ref,tower_id,lac,cell_id,tower_address,tower_lat,tower_lon,tower_district,tower_state,tower_operator,tower_type,tower_azimuth,tower_height_m,tower_coverage_radius_m,tower_tech,dump_start_datetime,dump_end_datetime,dump_window_hours,msisdn,imsi,imei,sim_serial_no,subscriber_name,kyc_doc_type,kyc_doc_no,kyc_status,subscriber_dob,subscriber_gender,subscriber_address,operator,circle,plan_type,activation_date,sim_status,handset_make,handset_model,handset_type,event_type,event_datetime,event_date,event_time,event_duration_sec,calling_party,called_party,first_activity_datetime,last_activity_datetime,total_events_in_window,total_calls,total_sms,total_data_sessions,uplink_bytes_window,downlink_bytes_window,signal_strength_dbm,timing_advance_distance_m,rat_type,location_update_type,prev_tower_id,prev_tower_address,prev_event_datetime,next_tower_id,next_tower_address,next_event_datetime,co_location_flag,co_location_note,data_requested_by,data_request_date,telecom_response_date,remarks
1,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0001,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100019,40420101000019000,350000003000019,8991100001019001,Person_19,VoterID,939194462224,GENUINE,1990-09-17,F,"Address 19, Delhi",Jio,Delhi,Prepaid,2019-07-17,Active,OnePlus,Note 12,Smartphone,DATA_SESSION,2024-03-15 08:29:00,2024-03-15,08:29:00,187,,,2024-03-15 07:33:00,2024-03-15 08:57:00,5,3,1,2,195333,1412233,-63,657,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
2,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0002,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100002,40420101000002000,350000003000002,8991100001002001,Person_02,DL,160903224042,GENUINE,1999-07-05,M,"Address 2, Delhi",Airtel,Delhi,Prepaid,2022-07-15,Active,Samsung,Note 12,Smartphone,LOCATION_UPDATE,2024-03-15 08:31:00,2024-03-15,08:31:00,143,,,2024-03-15 07:34:00,2024-03-15 08:50:00,5,4,1,0,0,0,-56,361,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
3,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0003,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100040,40420101000040000,350000003000040,8991100001040001,Person_40,DL,728785738912,GENUINE,1991-11-03,M,"Address 40, Delhi",Jio,Delhi,Prepaid,2022-03-17,Active,OnePlus,Y33s,Smartphone,DATA_SESSION,2024-03-15 08:36:00,2024-03-15,08:36:00,485,,,2024-03-15 07:35:00,2024-03-15 09:00:00,7,7,1,2,9229,1782907,-61,328,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
4,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0004,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100025,40420101000025000,350000003000025,8991100001025001,Person_25,VoterID,259290868927,GENUINE,1993-09-04,F,"Address 25, Delhi",Vi,Delhi,Prepaid,2021-09-11,Active,Oppo,Note 12,Smartphone,LOCATION_UPDATE,2024-03-15 07:41:00,2024-03-15,07:41:00,157,,,2024-03-15 07:38:00,2024-03-15 08:51:00,3,3,1,0,0,0,-86,74,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
5,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0005,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100012,40420101000012000,350000003000012,8991100001012001,Person_12,VoterID,109147624973,GENUINE,1998-05-27,F,"Address 12, Delhi",Vi,Delhi,Prepaid,2022-05-21,Active,Redmi,Y33s,Smartphone,VOICE_CALL,2024-03-15 07:43:00,2024-03-15,07:43:00,508,9811100012,9811735483,2024-03-15 07:36:00,2024-03-15 08:56:00,7,7,4,2,0,0,-64,53,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
6,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0006,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100024,40420101000024000,350000003000024,8991100001024001,Person_24,DL,028344565624,GENUINE,1995-03-01,M,"Address 24, Delhi",BSNL,Delhi,Prepaid,2021-05-24,Active,Vivo,GT Neo 3T,Smartphone,ATTACH,2024-03-15 07:40:00,2024-03-15,07:40:00,480,,,2024-03-15 07:39:00,2024-03-15 08:51:00,6,2,2,1,0,0,-89,756,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
7,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0007,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100004,40420101000004000,350000003000004,8991100001004001,Person_04,VoterID,324288813383,GENUINE,1996-07-17,M,"Address 4, Delhi",Jio,Delhi,Prepaid,2020-06-25,Active,OnePlus,Reno 6,Smartphone,SMS,2024-03-15 07:33:00,2024-03-15,07:33:00,137,,,2024-03-15 07:33:00,2024-03-15 08:56:00,4,2,2,1,0,0,-93,366,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
8,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0008,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100005,40420101000005000,350000003000005,8991100001005001,Person_05,VoterID,310060530424,GENUINE,1994-01-19,F,"Address 5, Delhi",Jio,Delhi,Prepaid,2023-06-04,Active,Redmi,Reno 6,Smartphone,DATA_SESSION,2024-03-15 08:18:00,2024-03-15,08:18:00,488,,,2024-03-15 07:30:00,2024-03-15 08:58:00,4,1,0,1,479361,1786007,-84,595,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
9,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0009,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100013,40420101000013000,350000003000013,8991100001013001,Person_13,VoterID,235828395981,GENUINE,1993-09-14,M,"Address 13, Delhi",Airtel,Delhi,Prepaid,2020-12-26,Active,Realme,Y33s,Smartphone,SMS,2024-03-15 08:49:00,2024-03-15,08:49:00,165,,,2024-03-15 07:39:00,2024-03-15 08:54:00,5,1,0,0,0,0,-74,549,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
10,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0010,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100037,40420101000037000,350000003000037,8991100001037001,Person_37,Aadhaar,111110455276,GENUINE,1999-01-14,M,"Address 37, Delhi",BSNL,Delhi,Prepaid,2019-09-15,Active,Oppo,Galaxy A14,Smartphone,VOICE_CALL,2024-03-15 07:59:00,2024-03-15,07:59:00,531,9811100037,9811172398,2024-03-15 07:36:00,2024-03-15 08:57:00,5,4,1,2,0,0,-74,650,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
