MSISDN,Called_Number,Call_Type,Duration,IMEI,IMSI,Tower_ID,Location,Date_Time
9817516627,9814915244,SMS,184,359881271520854,404450215249247,TWR001,Random Location,2026-04-20 12:49:00
9817612627,9818990981,SMS,66,359881336059975,404450691404051,TWR002,Random Location,2026-04-20 08:59:00
9816295709,9814386257,SMS,277,359881375099426,404450888461951,TWR001,Random Location,2026-04-20 09:42:00
9811853180,9817543167,VOICE,98,359881269419450,404450133417527,TWR003,Random Location,2026-04-20 11:38:00
9818238384,9813867134,SMS,207,359881449678300,404450544735271,TWR004,Random Location,2026-04-20 09:29:00
9812429916,9817908608,VOICE,292,359881256004650,404450438273278,TWR001,Random Location,2026-04-20 11:39:00
9819094614,9812914627,SMS,155,359881158256445,404450710657630,TWR002,Random Location,2026-04-20 12:45:00
9814714365,9819235999,SMS,17,359881950551740,404450813061821,TWR005,Random Location,2026-04-20 10:55:00
9817004091,9811176594,VOICE,135,359881531613684,404450826165436,TWR004,Random Location,2026-04-20 11:59:00
9813795141,9818077884,SMS,91,359881426626719,404450309952201,TWR002,Random Location,2026-04-20 09:57:00
9815420059,9818914500,SMS,231,359881989976654,404450996656647,TWR006,Random Location,2026-04-20 11:27:00
9811286506,9811190186,SMS,39,359881195969777,404450434891264,TWR005,Random Location,2026-04-20 11:49:00
9817386088,9818851043,VOICE,125,359881665249457,404450830038500,TWR005,Random Location,2026-04-20 09:08:00
9819575824,9817412413,SMS,123,359881299016415,404450366355867,TWR005,Random Location,2026-04-20 08:10:00
9819944696,9812671490,VOICE,236,359881508864778,404450347535071,TWR001,Random Location,2026-04-20 09:04:00
9814912166,9816408996,SMS,119,359881449235672,404450977819698,TWR004,Random Location,2026-04-20 08:32:00
9816238703,9818371028,SMS,264,359881432535039,404450581866916,TWR003,Random Location,2026-04-20 13:00:00
9814516817,9811435199,VOICE,122,359881467713854,404450759690732,TWR002,Random Location,2026-04-20 12:11:00
9813675580,9815916846,VOICE,182,359881109617358,404450539805185,TWR005,Random Location,2026-04-20 10:42:00
9811588129,9816437381,VOICE,248,359881172879700,404450599753610,TWR003,Random Location,2026-04-20 10:32:00
9817264614,9816168713,SMS,299,359881572897283,404450162702367,TWR005,Random Location,2026-04-20 08:39:00
9819664611,9813348184,VOICE,75,359881585506636,404450544000393,TWR003,Random Location,2026-04-20 09:04:00
9819901201,9816246526,VOICE,115,359881130716953,404450543347623,TWR002,Random Location,2026-04-20 09:01:00
9811243643,9813813269,VOICE,19,359881344017333,404450979526370,TWR004,Random Location,2026-04-20 08:30:00
9819608634,9817856921,VOICE,128,359881564605009,404450642459484,TWR001,Random Location,2026-04-20 12:02:00
9811053956,9817123271,SMS,21,359881950963230,404450701835972,TWR003,Random Location,2026-04-20 08:08:00
9812539037,9811340158,VOICE,103,359881962356916,404450823930954,TWR001,Random Location,2026-04-20 10:00:00
9813423760,9813871094,SMS,56,359881935662736,404450876855605,TWR004,Random Location,2026-04-20 11:24:00
9811898755,9817223600,SMS,25,359881206311529,404450488387690,TWR003,Random Location,2026-04-20 09:46:00
9813520828,9813170764,SMS,216,359881227590224,404450753573366,TWR004,Random Location,2026-04-20 10:32:00
9810000001,9810000002,VOICE,118,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 08:00:00
9810000001,9810000002,VOICE,170,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 08:30:00
9810000001,9810000002,VOICE,68,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 09:00:00
9810000001,9810000002,VOICE,38,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 09:30:00
9810000001,9810000002,VOICE,152,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 10:00:00
9810000001,9810000002,VOICE,36,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 10:30:00
9810000001,9810000002,VOICE,150,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 11:00:00
9810000001,9810000002,VOICE,170,359881000000001,404450000000001,TWR001,Connaught Place,2026-04-20 11:30:00
